group group_name seqnames start end width strand gene_id gene_biotype symbol
1 1 genes chr9 10267 18716 8450 - ENSDARG00000100461 protein_coding CABZ01078737.1
2 1 genes chr9 23787 48036 24250 - ENSDARG00000098670 protein_coding map4k4
3 1 genes chr9 51891 59189 7299 + ENSDARG00000101696 protein_coding zgc:158316
4 1 genes chr9 61770 68947 7178 - ENSDARG00000078042 protein_coding il10rb
5 1 genes chr9 70157 94601 24445 + ENSDARG00000093125 protein_coding RANBP2
6 1 genes chr9 94884 100579 5696 - ENSDARG00000014976 protein_coding lims2
7 1 genes chr9 102422 105135 2714 - ENSDARG00000110024 protein_coding FQ377903.3
8 1 genes chr9 123593 128036 4444 - ENSDARG00000102336 protein_coding SLC5A7
9 1 genes chr9 134489 135774 1286 - ENSDARG00000100150 protein_coding FQ377903.1
10 1 genes chr9 145093 153070 7978 + ENSDARG00000103337 protein_coding rrp1
11 1 genes chr9 156142 159438 3297 + ENSDARG00000104528 protein_coding cldn10b
12 1 genes chr9 159720 161836 2117 + ENSDARG00000105042 protein_coding cldn10l2
13 1 genes chr9 163662 166125 2464 + ENSDARG00000099598 protein_coding CABZ01067558.1
14 1 genes chr9 168442 180334 11893 - ENSDARG00000114245 protein_coding PLBD2
15 1 genes chr9 190438 202805 12368 - ENSDARG00000114697 protein_coding CABZ01067557.1
16 1 genes chr9 205248 216527 11280 - ENSDARG00000102274 protein_coding aaas
17 1 genes chr9 219124 235602 16479 + ENSDARG00000103651 protein_coding map3k12
18 1 genes chr9 250724 264173 13450 - ENSDARG00000099039 protein_coding pcbp2
19 1 genes chr9 265988 296169 30182 - ENSDARG00000098936 protein_coding kif5aa
20 1 genes chr9 295576 306515 10940 - ENSDARG00000100407 protein_coding si:ch211-166e11.5
21 1 genes chr9 307863 321351 13489 + ENSDARG00000098883 protein_coding stac3
22 1 genes chr9 323460 327901 4442 - ENSDARG00000103114 protein_coding ndufa4l2a
23 1 genes chr9 331425 340294 8870 + ENSDARG00000098235 protein_coding actr5
